,Actor,Total Gross,Number of Movies,Average per Movie,#1 Movie,Gross
0,Harrison Ford,4871.7,41,118.8,Star Wars: The Force Awakens,936.7
1,Samuel L. Jackson,4772.8,69,69.2,The Avengers,623.4
2,Morgan Freeman,4468.3,61,73.3,The Dark Knight,534.9
3,Tom Hanks,4340.8,44,98.7,Toy Story 3,415.0
4,"Robert Downey, Jr.",3947.3,53,74.5,The Avengers,623.4
5,Eddie Murphy,3810.4,38,100.3,Shrek 2,441.2
6,Tom Cruise,3587.2,36,99.6,War of the Worlds,234.3
7,Johnny Depp,3368.6,45,74.9,Dead Man's Chest,423.3
8,Michael Caine,3351.5,58,57.8,The Dark Knight,534.9
9,Scarlett Johansson,3341.2,37,90.3,The Avengers,623.4
10,Gary Oldman,3294.0,38,86.7,The Dark Knight,534.9
11,Robin Williams,3279.3,49,66.9,Night at the Museum,250.9
12,Bruce Willis,3189.4,60,53.2,Sixth Sense,293.5
13,Stellan Skarsgard,3175.0,43,73.8,The Avengers,623.4
14,Anthony Daniels,3162.9,7,451.8,Star Wars: The Force Awakens,936.7
15,Ian McKellen,3150.4,31,101.6,Return of the King,377.8
16,Will Smith,3149.1,24,131.2,Independence Day,306.2
17,Stanley Tucci,3123.9,50,62.5,Catching Fire,424.7
18,Matt Damon,3107.3,39,79.7,The Martian,228.4
19,Robert DeNiro,3081.3,79,39.0,Meet the Fockers,279.3
20,Cameron Diaz,3031.7,34,89.2,Shrek 2,441.2
21,Liam Neeson,2942.7,63,46.7,The Phantom Menace,474.5
22,Andy Serkis,2890.6,23,125.7,Star Wars: The Force Awakens,936.7
23,Don Cheadle,2885.4,34,84.9,Avengers: Age of Ultron,459.0
24,Ben Stiller,2827.0,37,76.4,Meet the Fockers,279.3
25,Helena Bonham Carter,2822.0,36,78.4,Harry Potter / Deathly Hallows (P2),381.0
26,Orlando Bloom,2815.8,17,165.6,Dead Man's Chest,423.3
27,Woody Harrelson,2815.8,50,56.3,Catching Fire,424.7
28,Cate Blanchett,2802.6,39,71.9,Return of the King,377.8
29,Julia Roberts,2735.3,42,65.1,Ocean's Eleven,183.4
30,Elizabeth Banks,2726.3,35,77.9,Catching Fire,424.7
31,Ralph Fiennes,2715.3,36,75.4,Harry Potter / Deathly Hallows (P2),381.0
32,Emma Watson,2681.9,17,157.8,Harry Potter / Deathly Hallows (P2),381.0
33,Tommy Lee Jones,2681.3,46,58.3,Men in Black,250.7
34,Brad Pitt,2680.9,40,67.0,World War Z,202.4
35,Adam Sandler,2661.0,32,83.2,Hotel Transylvania 2,169.7
36,Daniel Radcliffe,2634.4,17,155.0,Harry Potter / Deathly Hallows (P2),381.0
37,Jonah Hill,2605.1,29,89.8,The LEGO Movie,257.8
38,Owen Wilson,2602.3,39,66.7,Night at the Museum,250.9
39,Idris Elba,2580.6,26,99.3,Avengers: Age of Ultron,459.0
40,Bradley Cooper,2557.7,25,102.3,American Sniper,350.1
41,Mark Wahlberg,2549.8,36,70.8,Transformers 4,245.4
42,Jim Carrey,2545.2,27,94.3,The Grinch,260.0
43,Dustin Hoffman,2522.1,43,58.7,Meet the Fockers,279.3
44,Leonardo DiCaprio,2518.3,25,100.7,Titanic,658.7
45,Jeremy Renner,2500.3,21,119.1,The Avengers,623.4
46,Philip Seymour Hoffman,2463.7,40,61.6,Catching Fire,424.7
47,Sandra Bullock,2462.6,35,70.4,Minions,336.0
48,Chris Evans,2457.8,23,106.9,The Avengers,623.4
49,Anne Hathaway,2416.5,25,96.7,The Dark Knight Rises,448.1
