1,Year,Total Gross,Number of Movies,#1 Movie
2,2015,11128.5,702,Star Wars: The Force Awakens
3,2014,10360.8,702,American Sniper
4,2013,10923.6,688,Catching Fire
5,2012,10837.4,667,The Avengers
6,2011,10174.3,602,Harry Potter / Deathly Hallows (P2)
7,2010,10565.6,536,Toy Story 3
8,2009,10595.5,521,Avatar
9,2008,9630.7,608,The Dark Knight
10,2007,9663.8,631,Spider-Man 3
11,2006,9209.5,608,Dead Man's Chest
12,2005,8840.5,547,Revenge of the Sith
13,2004,9380.5,551,Shrek 2
14,2003,9239.7,506,Return of the King
15,2002,9155,479,Spider-Man
16,2001,8412.5,482,Harry Potter / Sorcerer's Stone
17,2000,7661,478,The Grinch
18,1999,7448,461,The Phantom Menace
19,1998,6949,509,Saving Private Ryan
20,1997,6365.9,510,Titanic
21,1996,5911.5,471,Independence Day
22,1995,5493.5,411,Toy Story
23,1994,5396.2,453,Forrest Gump
24,1993,5154.2,462,Jurassic Park
25,1992,4871,480,Aladdin
26,1991,4803.2,458,Terminator 2
27,1990,5021.8,410,Home Alone
28,1989,5033.4,502,Batman
29,1988,4458.4,510,Rain Man
30,1987,4252.9,509,Three Men and a Baby
31,1986,3778,451,Top Gun
32,1985,3749.2,470,Back to the Future
33,1984,4031,536,Beverly Hills Cop
34,1983,3766,495,Return of the Jedi
35,1982,3453,428,E.T.
36,1981,2966,173,Raiders / Lost Ark
37,1980,2749,161,The Empire Strikes Back
